osc_sd_muni_code,school_name,primary_county,nysed_district_cd,xwalk_name,match_method
460700200100,Addison Central School District,Steuben,57010104,ADDISON CSD,name
300608200100,Adirondack Central School District,Oneida,41040106,ADIRONDACK CSD,name
080700300100,Afton Central School District,Chenango,08010104,AFTON CSD,name
140758200100,Akron Central School District,Erie,14210104,AKRON CSD,name
010501000000,Albany City School District,Albany,01010001,ALBANY CITY SD,name
340600500100,Albion Central School District,Orleans,45010106,ALBION CSD,name
140600700100,Alden Central School District,Erie,14010106,ALDEN CSD,name
180700800200,Alexander Central School District,Genesee,18020204,ALEXANDER CSD,name
220700900200,Alexandria Central School District,Jefferson,22020204,ALEXANDRIA CSD,name
020701000100,Alfred-Almond Central School District,Allegany,02010104,ALFRED-ALMOND CSD,name
040701100100,Allegany-Limestone Central School District,Cattaraugus,04030206,ALLEGANY-LIMESTONE CSD,name
350700600200,Altmar-Parish-Williamstown Central School District,Oswego,46010204,ALTMAR-PARISH-WILLIAMSTOWN CSD,name
470925000300,Amagansett Union Free School District,Suffolk,58030302,AMAGANSETT UFSD,name
140601900100,Amherst Central School District,Erie,14020106,AMHERST CSD,name
470604600600,Amityville Union Free School District,Suffolk,58010603,AMITYVILLE UFSD,name
270502000000,Amsterdam City School District,Montgomery,27010001,AMSTERDAM CITY SD,name
120702300200,Andes Central School District,Delaware,12010204,ANDES CSD,name
020702400100,Andover Central School District,Allegany,02060104,ANDOVER CSD,name
550634200500,Ardsley Union Free School District,Westchester,66040503,ARDSLEY UFSD,name
530703000100,Argyle Central School District,Washington,64010104,ARGYLE CSD,name
460740400100,Arkport Central School District,Steuben,57190104,ARKPORT CSD,name
130668600100,Arlington Central School District,Dutchess,13160106,ARLINGTON CSD,name
560603700100,Attica Central School District,Wyoming,67020106,ATTICA CSD,name
050503000000,Auburn City School District,Cayuga,05010001,AUBURN CITY SD,name
090704100100,Ausable Valley Central School District,Clinton,09020104,AUSABLE VALLEY CSD,name
380674100100,Averill Park Central School District,Rensselaer,49130206,AVERILL PARK CSD,name
460704400100,Avoca Central School District,Steuben,57020104,AVOCA CSD,name
240704500100,Avon Central School District,Livingston,24010104,AVON CSD,name
470604600100,Babylon Union Free School District,Suffolk,58010103,BABYLON UFSD,name
080704700100,Bainbridge-Guilford Central School District,Chenango,08020104,BAINBRIDGE-GUILFORD CSD,name
280638601000,Baldwin Union Free School District,Nassau,28021003,BALDWIN UFSD,name
310649300100,Baldwinsville Central School District,Onondaga,42090106,BALDWINSVILLE CSD,name
410653400100,Ballston Spa Central School District,Saratoga,52130106,BALLSTON SPA CSD,name
290778600100,Barker Central School District,Niagara,40130104,BARKER CSD,name
180504000000,Batavia City School District,Genesee,18030001,BATAVIA CITY SD,name
460605600200,Bath Central School District,Steuben,57030206,BATH CSD,name
470642100100,Bay Shore Union Free School District,Suffolk,58050103,BAY SHORE UFSD,name
470942100500,Bayport-Blue Point Union Free School District,Suffolk,58050502,BAYPORT-BLUE POINT UFSD,name
130505000000,Beacon City School District,Dutchess,13020001,BEACON CITY SD,name
230756800100,Beaver River Central School District,Lewis,23130104,BEAVER RIVER CSD,name
550605700200,Bedford Central School District,Westchester,66010206,BEDFORD CSD,name
090605900100,Beekmantown Central School District,Clinton,09030106,BEEKMANTOWN CSD,name
020706000100,Belfast Central School District,Allegany,02080104,BELFAST CSD,name
220726700200,Belleville-Henderson Central School District,Jefferson,22090904,BELLEVILLE-HENDERSON CSD,name
280938600700,Bellmore Union Free School District,Nassau,28020702,BELLMORE UFSD,name
060726300100,Bemus Point Central School District,Chautauqua,06100104,BEMUS POINT CSD,name
380706700100,Berlin Central School District,Rensselaer,49010104,BERLIN CSD,name
010706800100,Berne-Knox-Westerlo Central School District,Albany,01020104,BERNE-KNOX-WESTERLO CSD,name
010607100600,Bethlehem Central School District,Albany,01030606,BETHLEHEM CSD,name
280663402100,Bethpage Union Free School District,Nassau,28052103,BETHPAGE UFSD,name
030506000000,Binghamton City School District,Broome,03020001,BINGHAMTON CITY SD,name
550973400500,Blind Brook-Rye Union Free School District,Westchester,66190502,BLIND BROOK-RYE UFSD,name
020707900100,Bolivar-Richburg Central School District,Allegany,02290204,BOLIVAR-RICHBURG CSD,name
520708000100,Bolton Central School District,Warren,63010104,BOLTON CSD,name
150789600200,Boquet Valley Central School District at Elizabethtown-Lewis-Westport,Essex,15180104,,manual
460708600100,Bradford Central School District,Steuben,57040104,BRADFORD CSD,name
400708900100,Brasher Falls Central School District,St. Lawrence,51010104,BRASHER FALLS CSD,name
470642101200,Brentwood Union Free School District,Suffolk,58051203,BRENTWOOD UFSD,name
370678900100,Brewster Central School District,Putnam,48060106,BREWSTER CSD,name
550962200200,Briarcliff Manor Union Free School District,Westchester,66140202,BRIARCLIFF MANOR UFSD,name
470978700900,Bridgehampton Union Free School District,Suffolk,58090902,BRIDGEHAMPTON UFSD,name
260609200100,Brighton Central School District,Monroe,26010106,BRIGHTON CSD,name
170709400100,Broadalbin-Perth Central School District,Fulton,17110204,BROADALBIN-PERTH CSD,name
260681900100,Brockport Central School District,Monroe,26180106,BROCKPORT CSD,name
060768200100,Brocton Central School School District,Chautauqua,06230104,BROCTON CSD,name+county
550624700300,Bronxville Union Free School District,Westchester,66030303,BRONXVILLE UFSD,name
250709500900,Brookfield Central School District,Madison,25010904,BROOKFIELD CSD,name
470909600300,Brookhaven-Comsewogue Union Free School District,Suffolk,58020302,BROOKHAVEN-COMSEWOGUE UFSD,name
380709900200,Brunswick Central School District,Rensselaer,49020204,BRUNSWICK CSD (BRITTONKILL),name
160754100100,Brushton-Moira Central School District,Franklin,16160104,BRUSHTON-MOIRA CSD,name
140507000000,Buffalo City School District,Erie,14060001,BUFFALO CITY SD,name
410604900100,Burnt Hills-Ballston Lake Central School District,Saratoga,52010106,BURNT HILLS-BALLSTON LAKE CSD,name
