Muni Code,Entity,Period End,Narrative,Year,A90608,C90608,Total
530790601000,Cambridge Central School District,2013-06-30,"Hospital, Medical and Dental Insurance",2013,3156554,67649,3224203
530790601000,Cambridge Central School District,2014-06-30,"Hospital, Medical and Dental Insurance",2014,3431972,69363,3501335
530790601000,Cambridge Central School District,2015-06-30,"Hospital, Medical and Dental Insurance",2015,3547933,71789,3619722
530790601000,Cambridge Central School District,2016-06-30,"Hospital, Medical and Dental Insurance",2016,3750806,74301,3825107
530790601000,Cambridge Central School District,2017-06-30,"Hospital, Medical and Dental Insurance",2017,3837432,74449,3911881
530790601000,Cambridge Central School District,2018-06-30,"Hospital, Medical and Dental Insurance",2018,4045180,80169,4125349
530790601000,Cambridge Central School District,2019-06-30,"Hospital, Medical and Dental Insurance",2019,3957957,90867,4048824
530790601000,Cambridge Central School District,2020-06-30,"Hospital, Medical and Dental Insurance",2020,3060740,82981,3143721
530790601000,Cambridge Central School District,2021-06-30,"Hospital, Medical and Dental Insurance",2021,3738167,0,3738167
530790601000,Cambridge Central School District,2022-06-30,"Hospital, Medical and Dental Insurance",2022,3689467,70727,3760194
530790601000,Cambridge Central School District,2023-06-30,"Hospital, Medical and Dental Insurance",2023,3940803,55260,3996063
530790601000,Cambridge Central School District,2024-06-30,"Hospital, Medical and Dental Insurance",2024,4292453,81174,4373627
530790601000,Cambridge Central School District,2025-06-30,"Hospital, Medical and Dental Insurance",2025,4605023,93366,4698389
