year,district,vote1_pct_for,vote1_pct_against,vote2_pct_for,vote2_pct_against,above_cap_1st,above_cap_2nd,outcome
2012,CHEEKTOWAGA-SLOAN UFSD,48.2,51.8,39.7,60.3,FALSE,FALSE,Contingency (failed revote)
2012,OPPENHEIM-EPHRATAH CSD,27.4,72.6,39.3,60.7,TRUE,TRUE,Contingency (failed revote)
2012,BOLIVAR-RICHBURG CSD,46.2,53.8,71.9,28.1,FALSE,FALSE,Passed on revote
2012,CENTER MORICHES UFSD,38.6,61.4,57.1,42.9,TRUE,TRUE,Passed on revote
2012,COBLESKILL-RICHMONDVILLE CSD,45,55,57,43,TRUE,TRUE,Passed on revote
2012,COMSEWOGUE UFSD,58.8,41.2,78.3,21.7,TRUE,TRUE,Passed on revote
2012,EAST ISLIP UFSD,45.3,54.7,56.5,43.5,TRUE,TRUE,Passed on revote
2012,EAST RAMAPO CSD (SPRING VALLEY),42.4,57.6,74.5,25.5,FALSE,FALSE,Passed on revote
2012,ELMIRA CITY SD,54.6,45.4,65.2,34.8,TRUE,TRUE,Passed on revote
2012,ELMONT UFSD,43.3,56.7,62.5,37.5,TRUE,TRUE,Passed on revote
2012,FLORAL PARK-BELLEROSE UFSD,50.9,49.1,59,41,TRUE,TRUE,Passed on revote
2012,FONDA-FULTONVILLE CSD,43.1,56.9,58,42,TRUE,TRUE,Passed on revote
2012,GERMANTOWN CSD,44.7,55.3,69,31,TRUE,TRUE,Passed on revote
2012,HIGHLAND CSD,51.1,48.9,60.4,39.6,TRUE,TRUE,Passed on revote
2012,MT SINAI UFSD,52.4,47.6,67,33,TRUE,TRUE,Passed on revote
2012,NEW PALTZ CSD,59.4,40.6,73.2,26.8,TRUE,TRUE,Passed on revote
2012,NIAGARA-WHEATFIELD CSD,46.1,53.9,57.4,42.6,TRUE,TRUE,Passed on revote
2012,OYSTERPONDS UFSD,43.1,56.9,54.9,45.1,FALSE,FALSE,Passed on revote
2012,PLATTSBURGH CITY SD,34.8,65.2,56.7,43.3,TRUE,TRUE,Passed on revote
2012,STILLWATER CSD,56.3,43.7,61.6,38.4,TRUE,TRUE,Passed on revote
2012,THREE VILLAGE CSD,56.7,43.3,68.7,31.3,TRUE,TRUE,Passed on revote
2012,TUCKAHOE COMN SD,45.3,54.7,51.3,48.7,FALSE,FALSE,Passed on revote
2012,UNADILLA VALLEY CSD,50.2,49.8,70,30,TRUE,TRUE,Passed on revote
2012,WYOMING CSD,36.3,63.7,63.3,36.7,TRUE,TRUE,Passed on revote
2013,ALDEN CSD,40,60,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,BALDWIN UFSD,55.8,44.2,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,BEMUS POINT CSD,48.6,51.4,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,BRIARCLIFF MANOR UFSD,51.3,48.7,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,CAIRO-DURHAM CSD,47.9,52.1,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,CLARENCE CSD,41.7,58.3,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,CORNWALL CSD,59.9,40.1,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,EAST QUOGUE UFSD,59.2,40.8,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,EAST RAMAPO CSD (SPRING VALLEY),47.5,52.5,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,ELMIRA HTS CSD,53.4,46.6,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,ELMSFORD UFSD,47.1,52.9,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,GENERAL BROWN CSD,58.2,41.8,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,LEWISTON-PORTER CSD,44.9,55.1,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,MANHASSET UFSD,53.3,46.7,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,MARLBORO CSD,36.7,63.3,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,MIDDLEBURGH CSD,48.4,51.6,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,MINERVA CSD,44.9,55.1,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,MORAVIA CSD,56.6,43.4,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,MT VERNON CITY SD,39.8,60.2,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,NEWCOMB CSD,51.6,48.4,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,NIAGARA-WHEATFIELD CSD,50,50,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,NISKAYUNA CSD,44.1,55.9,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,NORTH BABYLON UFSD,54,46,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,NORTH SYRACUSE CSD,54.2,45.8,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,REMSEN CSD,45.3,54.7,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2013,SACHEM CSD,54.2,45.8,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,SCARSDALE UFSD,46.6,53.4,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,SOUTH COUNTRY CSD,54.1,45.9,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,SOUTH SENECA CSD,52,48,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,TUPPER LAKE CSD,42.8,57.2,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,VALLEY CSD (MONTGOMERY),48.3,51.7,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2013,WILSON CSD,37.2,62.8,NA,NA,FALSE,FALSE,Contingency (no revote / direct)
2014,MINERVA CSD,56,44,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2014,WEST IRONDEQUOIT CSD,56,44,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2014,ADDISON CSD,48.9,51.1,53.5,46.5,FALSE,FALSE,Passed on revote
2014,BRIDGEHAMPTON UFSD,54.3,45.7,60.8,39.2,TRUE,TRUE,Passed on revote
2014,BROOKFIELD CSD,59.9,40.1,65.1,34.9,TRUE,TRUE,Passed on revote
2014,CLIFTON-FINE CSD,41.2,58.8,57.1,42.9,NA,NA,Passed on revote
2014,DOVER UFSD,51.1,48.9,64.6,35.4,TRUE,TRUE,Passed on revote
2014,NORTHVILLE CSD,58.8,41.2,62,38,TRUE,TRUE,Passed on revote
2014,ROME CITY SD,31.4,68.6,53.7,46.3,FALSE,FALSE,Passed on revote
2014,SAYVILLE UFSD,43.7,56.3,76,24,TRUE,TRUE,Passed on revote
2014,TUXEDO UFSD,53.2,46.8,70.5,29.5,TRUE,TRUE,Passed on revote
2014,WEST BABYLON UFSD,51.8,48.2,72.5,27.5,TRUE,TRUE,Passed on revote
2015,TIOGA CSD,52.6,47.4,NA,NA,TRUE,TRUE,Contingency (no revote / direct)
2015,ADDISON CSD,45,55,63.2,36.8,FALSE,FALSE,Passed on revote
2015,CHAZY UFSD,56.3,43.7,73.7,26.3,TRUE,TRUE,Passed on revote
